soil_moisture,airTemperature,cloudCover,humidity,precipitation,waterTemperature,windSpeed,irrigar,tempo_bomba
49,17,82,49,5,27,0,0,0
59,33,32,87,5,20,3,0,0
60,16,47,49,4,22,5,0,0
14,17,7,77,5,23,3,0,0
59,26,17,81,3,37,4,0,0
52,20,93,72,0,25,3,0,0
59,28,69,83,4,31,1,0,0
20,22,10,48,0,40,0,1,10
55,14,71,43,1,32,5,0,0
44,15,48,43,3,27,1,0,0
23,34,89,56,0,29,4,1,16
20,30,85,87,0,31,4,1,20
16,21,36,63,0,23,3,1,13
56,14,70,57,2,40,3,0,0
55,12,48,73,2,24,4,1,14
52,12,48,59,2,35,0,1,14
25,18,75,64,2,36,4,1,8
22,14,97,43,5,21,5,0,0
15,16,31,51,4,22,3,0,0
41,31,50,44,1,20,0,0,0
25,12,50,81,2,28,0,0,0
54,13,83,87,2,24,0,0,0
57,16,87,42,0,33,2,0,0
35,30,51,80,1,38,1,0,0
10,35,79,82,4,29,1,0,0
35,19,94,47,5,32,3,0,0
28,35,94,47,2,25,0,1,11
19,10,9,45,1,34,5,1,5
46,11,86,74,5,24,2,0,0
53,16,3,58,3,20,3,0,0
23,21,55,49,5,21,2,0,0
44,13,72,83,0,25,5,0,0
55,25,38,58,5,27,2,0,0
52,29,95,61,2,40,2,0,0
43,31,85,53,0,33,1,0,0
20,11,28,72,1,37,4,0,0
48,20,78,52,3,31,2,0,0
17,10,50,44,0,36,1,0,0
60,32,77,80,4,25,4,0,0
32,23,40,42,3,39,3,0,0
25,25,22,87,1,37,5,0,0
48,11,48,46,0,24,1,1,14
23,23,33,63,1,25,2,0,0
56,33,21,53,4,37,1,0,0
30,25,56,76,1,28,3,0,0
25,32,89,52,4,27,5,0,0
51,20,49,55,5,32,4,0,0
45,35,31,69,5,25,2,0,0
21,26,68,76,2,32,2,1,13
45,35,32,52,4,33,3,0,0
27,25,55,81,5,30,4,0,0
36,22,34,59,5,25,2,0,0
53,35,15,85,2,32,1,0,0
21,22,21,72,0,39,0,1,14
10,17,97,76,5,29,2,0,0
29,23,32,51,0,33,4,1,12
28,12,13,75,2,38,3,0,0
37,26,43,71,1,37,3,0,0
12,16,16,50,1,39,5,0,0
60,36,68,76,1,24,1,1,9
52,18,16,89,1,25,4,0,0
22,26,7,56,5,23,3,0,0
34,22,3,62,0,22,1,1,5
32,14,14,40,2,24,3,1,10
36,17,55,57,5,26,4,0,0
15,12,84,72,4,38,0,0,0
16,11,1,77,3,40,1,0,0
33,28,10,49,4,35,0,0,0
53,27,29,45,5,28,1,0,0
57,32,93,78,1,34,2,1,10
39,18,70,78,4,31,4,0,0
17,21,26,44,0,38,2,1,17
18,22,95,44,4,40,2,0,0
27,32,23,72,3,24,3,0,0
50,21,2,51,1,20,1,1,11
15,24,6,43,0,38,5,1,14
18,17,32,50,0,26,1,1,13
32,30,0,47,1,33,0,1,7
55,14,52,67,5,32,1,0,0
25,30,84,74,0,37,3,1,15
17,28,82,73,4,22,5,0,0
38,20,19,55,2,39,3,0,0
18,16,85,82,5,26,4,0,0
46,26,40,54,4,23,4,0,0
44,16,12,69,1,30,3,1,10
33,28,99,48,1,23,1,1,10
23,35,97,88,1,22,5,0,0
57,12,53,83,1,27,0,0,0
44,12,89,73,0,34,1,1,6
20,28,32,80,1,40,2,0,0
22,16,2,56,0,37,5,0,0
55,36,34,47,4,27,5,0,0
42,28,10,87,2,20,0,0,0
21,31,11,48,4,39,2,0,0
47,15,3,90,3,40,5,0,0
40,28,66,90,4,35,5,0,0
58,30,81,62,1,21,2,0,0
40,17,53,88,1,20,4,0,0
53,10,35,45,5,22,5,0,0
10,32,31,42,1,39,4,0,0
11,19,43,85,5,29,5,0,0
42,20,83,73,2,22,2,1,10
46,17,20,65,3,25,5,0,0
19,15,82,89,3,34,1,0,0
51,11,50,76,5,22,2,0,0
39,28,12,58,4,27,5,0,0
58,14,87,61,0,22,4,0,0
57,14,91,50,5,24,5,0,0
55,34,47,85,4,39,2,0,0
49,29,65,53,3,39,4,0,0
39,33,77,44,3,34,1,0,0
47,24,98,50,5,37,2,0,0
40,12,97,79,4,23,2,0,0
35,19,56,67,1,28,0,1,11
53,17,55,87,3,30,1,0,0
11,27,70,50,2,30,0,1,12
21,26,55,86,2,32,3,0,0
35,22,58,68,0,27,3,0,0
60,13,98,77,5,36,1,0,0
37,30,12,86,0,36,4,0,0
46,11,8,73,1,20,3,1,14
34,34,32,90,0,21,2,0,0
18,19,52,72,1,33,2,1,9
49,22,85,71,3,40,2,0,0
59,15,97,90,2,35,1,0,0
37,26,96,68,1,23,3,0,0
20,34,95,78,2,24,0,1,15
57,17,81,49,4,20,5,0,0
59,11,49,88,1,28,5,0,0
30,35,82,89,4,38,5,0,0
52,14,16,54,0,27,0,0,0
51,12,40,52,4,21,0,0,0
16,33,32,69,2,26,2,0,0
52,10,31,42,2,26,2,1,9
19,35,46,56,0,34,0,1,18
52,20,37,67,5,34,4,0,0
19,33,72,67,2,31,4,1,15
22,15,21,59,1,30,2,0,0
19,27,39,76,2,36,3,1,15
27,32,75,55,1,25,3,0,0
59,16,53,54,2,31,4,1,7
57,11,90,63,0,36,1,0,0
38,35,1,65,1,22,2,0,0
57,14,56,63,5,28,1,0,0
48,33,69,57,4,35,3,0,0
52,29,62,54,0,36,3,0,0
51,35,31,56,1,20,2,1,10
27,12,59,78,4,29,1,0,0
29,28,66,46,5,20,3,0,0
23,30,57,54,4,21,3,0,0
37,33,73,72,0,24,0,0,0
26,26,83,90,3,39,3,0,0
50,34,2,88,1,36,0,0,0
10,13,81,54,5,35,2,0,0
47,13,77,65,0,20,5,1,15
28,16,39,40,2,25,1,1,6
54,26,12,52,2,29,3,1,11
12,20,65,51,2,38,0,1,8
54,13,99,57,5,27,3,0,0
18,17,26,62,3,21,2,0,0
37,36,64,44,0,27,1,0,0
31,12,15,44,1,31,3,1,14
18,31,70,75,5,26,0,0,0
44,25,55,68,4,39,4,0,0
17,30,15,72,0,26,5,1,16
20,33,39,55,5,24,5,0,0
23,21,28,51,3,31,1,0,0
49,15,71,53,4,28,5,0,0
10,18,53,57,5,23,5,0,0
57,26,99,82,1,40,0,0,0
34,15,54,78,2,37,1,1,14
56,15,15,43,1,35,3,1,11
26,35,0,44,4,35,2,0,0
26,28,45,85,2,27,0,0,0
57,29,78,43,4,28,4,0,0
10,25,61,45,5,40,3,0,0
20,11,91,85,1,36,4,0,0
44,18,65,72,2,35,2,1,13
25,29,42,51,2,21,4,1,11
51,10,94,61,0,25,2,0,0
26,14,68,46,5,35,1,0,0
59,30,10,53,0,21,3,0,0
41,32,50,61,5,34,4,0,0
52,22,59,69,1,26,4,1,5
21,18,91,62,5,39,4,0,0
21,17,8,64,2,36,5,0,0
39,20,38,43,2,27,5,0,0
27,32,41,61,3,29,2,0,0
52,14,10,82,1,26,3,0,0
22,14,85,47,2,26,4,0,0
35,36,69,64,5,29,2,0,0
28,12,17,78,5,21,1,0,0
59,27,49,52,1,20,2,1,12
44,10,74,46,3,22,4,0,0
21,28,91,85,2,23,1,0,0
53,11,32,68,5,37,5,0,0
12,16,25,89,3,24,4,0,0
60,11,34,90,4,24,0,0,0
23,11,17,63,2,33,1,0,0
54,36,88,76,2,34,3,1,10
18,13,98,78,5,40,2,0,0
51,21,71,64,4,35,3,0,0
17,20,14,66,4,30,1,0,0
14,16,73,70,3,36,5,0,0
56,31,49,82,4,34,5,0,0
14,22,1,62,1,20,1,1,5
45,34,72,79,5,28,4,0,0
50,13,68,89,0,23,3,0,0
10,35,21,86,5,35,4,0,0
47,13,10,52,4,36,5,0,0
36,29,14,66,4,23,2,0,0
38,35,48,83,3,28,2,0,0
50,21,23,45,4,35,2,0,0
59,15,61,75,0,31,5,0,0
58,14,69,67,3,38,1,0,0
16,15,6,77,5,38,2,0,0
46,18,11,53,0,22,4,0,0
40,14,12,70,3,28,0,0,0
40,13,62,44,3,31,0,0,0
36,17,32,86,0,40,2,0,0
20,23,26,48,2,27,3,0,0
17,27,49,47,2,26,2,0,0
19,16,9,64,5,38,4,0,0
39,22,64,47,1,25,3,1,6
20,22,56,56,3,35,1,0,0
21,18,69,68,4,38,1,0,0
54,28,72,53,0,23,5,0,0
30,22,79,47,1,32,5,0,0
17,25,15,76,4,24,5,0,0
18,13,14,51,3,26,5,0,0
14,32,61,64,5,23,5,0,0
10,20,24,61,5,33,1,0,0
10,22,14,55,2,37,4,0,0
20,27,7,44,2,28,5,0,0
27,23,52,69,1,21,3,0,0
36,20,25,40,1,32,0,1,14
41,31,97,61,2,36,5,1,13
55,21,86,77,4,25,1,0,0
45,18,56,80,2,38,3,0,0
49,33,98,50,5,22,2,0,0
60,36,46,86,5,36,3,0,0
18,13,31,83,2,39,2,0,0
26,30,62,68,5,25,3,0,0
14,34,38,76,1,30,0,1,9
21,20,77,44,4,36,4,0,0
20,24,17,81,2,28,1,0,0
40,30,45,54,3,32,5,0,0
29,24,81,90,0,27,0,1,10
22,20,28,51,5,30,0,0,0
50,25,53,84,1,31,0,0,0
46,30,71,45,4,40,3,0,0
43,32,35,82,2,33,4,0,0
36,15,70,48,4,29,2,0,0
26,33,15,70,5,21,2,0,0
52,29,5,50,0,39,4,1,9
51,15,97,65,5,20,3,0,0
31,34,30,42,4,20,0,0,0
15,21,12,40,0,37,2,1,14
19,35,42,58,2,37,3,1,11
36,28,62,56,4,40,5,0,0
13,12,68,42,1,34,1,1,6
10,21,25,70,1,33,3,0,0
39,33,39,69,2,22,1,1,12
15,23,66,74,4,27,4,0,0
59,36,55,82,3,34,5,0,0
42,12,55,90,2,30,0,0,0
29,19,42,47,4,20,3,0,0
29,18,71,84,2,22,1,0,0
26,29,22,47,1,35,5,0,0
58,19,28,69,5,38,4,0,0
57,31,24,55,5,38,1,0,0
60,24,4,64,2,23,2,1,15
38,17,41,61,0,33,4,0,0
32,14,98,63,4,30,3,0,0
59,34,36,44,2,21,2,0,0
20,27,58,88,1,27,4,0,0
44,18,3,67,3,26,2,0,0
23,21,19,58,2,22,4,0,0
44,20,47,49,4,29,1,0,0
27,10,96,73,5,38,2,0,0
34,18,23,44,2,29,3,0,0
43,27,100,50,0,20,1,0,0
