soil_moisture,airTemperature,cloudCover,humidity,precipitation,waterTemperature,windSpeed,irrigar,tempo_bomba
46,26,27,74,5,27,2,0,0
56,13,100,82,0,26,1,0,0
15,24,21,68,1,40,1,0,0
54,23,52,64,4,27,5,0,0
17,16,61,84,4,25,4,0,0
19,17,70,64,2,34,5,1,15
15,24,10,80,4,29,1,0,0
32,26,79,70,2,25,3,1,7
23,24,24,79,4,27,1,0,0
28,34,64,47,5,23,4,0,0
17,14,24,59,5,39,1,0,0
38,12,84,80,2,32,3,0,0
53,29,93,51,4,23,4,0,0
35,29,7,60,0,24,3,0,0
15,14,75,89,5,33,4,0,0
14,16,16,56,0,28,0,0,0
38,15,75,55,5,35,1,0,0
58,28,71,52,2,21,1,1,6
27,25,96,86,5,21,5,0,0
55,32,37,49,2,24,3,1,7
17,10,94,50,4,36,5,0,0
56,30,88,86,0,37,4,0,0
59,29,63,40,4,37,2,0,0
43,28,44,75,3,37,1,0,0
22,27,35,55,5,36,3,0,0
22,36,48,63,1,28,1,0,0
44,35,23,76,2,23,2,1,13
57,28,73,45,4,28,0,0,0
49,34,30,74,2,38,5,0,0
51,22,59,51,2,22,4,0,0
59,26,82,40,4,21,3,0,0
47,30,19,84,5,39,0,0,0
30,15,30,65,0,23,4,0,0
45,17,71,83,3,35,1,0,0
45,33,69,48,5,28,3,0,0
50,20,46,59,1,20,5,0,0
53,28,67,69,4,28,3,0,0
10,28,0,51,4,26,4,0,0
26,27,68,85,1,35,1,0,0
20,23,60,45,0,37,2,0,0
20,30,76,52,5,27,4,0,0
50,16,54,68,3,38,0,0,0
27,34,91,80,1,33,1,0,0
23,18,70,59,4,20,1,0,0
28,20,98,49,5,40,1,0,0
38,23,28,60,2,39,0,0,0
22,17,85,79,1,31,4,0,0
33,24,10,81,0,32,0,0,0
33,28,61,63,3,40,2,0,0
52,15,3,59,3,40,3,0,0
44,29,54,89,4,38,0,0,0
43,26,33,49,5,28,4,0,0
16,32,7,66,0,25,4,1,20
38,27,52,63,0,33,2,0,0
30,30,78,68,2,22,0,1,14
44,10,50,60,0,28,3,0,0
44,30,51,51,2,31,4,0,0
47,28,25,42,0,20,0,1,8
36,18,50,64,2,39,2,0,0
17,29,10,81,3,38,4,0,0
43,15,87,64,3,22,0,0,0
21,16,64,49,3,27,3,0,0
49,20,34,61,4,30,5,0,0
57,30,39,90,5,40,1,0,0
26,10,40,69,4,32,4,0,0
